视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
注意了，今天GitHub榜单有个信号：前8名有6个是AI智能体项目。openhuman一天近四千星，andrej-karpathy-skills近十四万总星。,2026年05月20日 13:01:32,882,86.1%,8.6%,4.5星,4.4星,4.5星,46.9%,38.5%,47.7%,10.7%,6.3%,11.3%,17,2.3%,0,21,2.4%,2,0.2%,0,0%,45,5.1%,4,0.5%,19,2.2%,61.5%
注意了，垂直AI智能体市场正在爆发2026年全球市场规模140亿美元，到2031年预计涨到340-495亿关键是大语言模型让搭建成本降低了,2026年05月19日 17:17:58,151,91.2%,1%,2星,2.3星,2星,58.1%,50%,58.5%,4.4%,0%,4.7%,0,0%,0,5,3.3%,0,0%,0,0%,2,1.3%,0,0%,0,0%,20.8%
今天 GitHub 涨星最猛的 6 个项目，AI 相关的占了一半！一个 Rust 写的个人 AI 大脑，一天涨近四千星,2026年05月19日 15:42:04,694,78%,12.1%,3.4星,3.7星,3.3星,37.1%,21.7%,39.5%,10.4%,9.5%,12.4%,18,3.5%,0,21,3%,0,0%,0,0%,42,6.1%,0,0%,7,1%,61.9%
一条命令就能让AI直接操控你桌面上的软件？这个36K Star的项目CLI-Anything，来自港大数据科学团队，能把Blender、GIMP,2026年05月18日 15:36:22,192,78.9%,6.9%,3.1星,4.1星,2.9星,50.3%,57.1%,49.3%,9.5%,21.1%,10.5%,1,0.7%,0,6,3.1%,0,0%,0,0%,8,4.2%,0,0%,3,1.6%,54.3%
本周 GitHub 榜单上，AI 智能体项目占了七成！superpowers 快二十万星，skills 近九万星，agentmemory 给 AI 加记忆。,2026年05月18日 13:07:58,1515,95.7%,8.8%,4.3星,3.7星,4.4星,52.3%,50%,52.3%,15.9%,0%,16.9%,106,7.5%,0,64,4.2%,0,0%,0,0%,143,9.4%,10,0.7%,34,2.2%,49.1%
今天 GitHub 八个项目涨星最猛，AI 工具直接霸榜了,2026年05月17日 09:44:45,227,84%,4.6%,3.2星,2.9星,3.4星,53.8%,14.3%,55.5%,2.4%,0%,2.6%,1,0.5%,0,4,1.8%,0,0%,0,0%,5,2.2%,0,0%,0,0%,64%
本周 GitHub 涨星最猛的 15 个开源项目，AI 直接霸榜了,2026年05月17日 09:52:25,229,87.2%,5.6%,4.4星,3.7星,4.5星,42.3%,28.6%,42.8%,3.7%,14.3%,4%,2,1%,0,5,2.2%,0,0%,0,0%,5,2.2%,0,0%,0,0%,51%
8.3万亿市场，大厂不愿碰，3亿老人在等你,2026年05月17日 21:26:30,23,35%,3.1%,4.9星,4.9星,2星,30.8%,33.3%,28.6%,25%,0%,40%,0,0%,0,2,8.7%,0,0%,0,0%,0,0%,0,0%,0,0%,19.7%
62%的企业试了AI Agent，但规模化不到10%——中间藏着一个万亿级机会,2026年05月18日 09:00:33,150,85%,3.3%,3.2星,3.2星,3.3星,53.3%,50%,53.6%,2.3%,0%,2.6%,0,0%,0,2,1.3%,0,0%,0,0%,2,1.3%,0,0%,0,0%,20.7%
今天 GitHub 一天涨了将近 1700 颗星的是什么项目？,2026年05月18日 12:11:13,300,77.5%,7.9%,3.6星,3.7星,3.5星,41.8%,32.1%,43.4%,5.8%,0%,6.8%,5,2.3%,0,5,1.7%,0,0%,0,0%,11,3.7%,0,0%,1,0.3%,63.3%
