视频描述,视频ID,发布时间,完播率,平均播放时长,播放量,推荐,喜欢,评论量,分享量,关注量,转发聊天和朋友圈,设为铃声,设为状态,设为朋友圈封面
AI一键生成短视频，结果自己先火了🔥MoneyPrinterTurbo 单日涨了近5000星，做视频的项目被做成了视频。Understand-Anything 让代码变成可交互的知识图谱，42K Star。taste-skill 专门治AI千篇一律的毛病，26K Star。English-level-up-tips 离谱的英语学习指南，48K Star。微软 markitdown 任何文件秒变Markdown，127K Star。twenty 开源版Salesforce，用爱发电打败用钱发电。在 GitHub 搜项目名就能找到。,export/UzFfBgAAxJqiOGJfRhv5jMzT4DCaWYDBYjQKHxx2dq08Mr_NIg,2026/5/29,12.24%,21.46秒,242,0,0,2,14,0,14,0,0,0
企业培训行业正在被AI彻底重构，收藏这篇深度分析备用。$4175亿市场中，AI培训年增速21.7%，内容生产效率提升500%，个性化学习保留率提高30%。5大维度全面拆解：内容革命、学习模式转变、个性化体验、AI教练、数据评估。企业具体该怎么落地？三步走框架讲清楚。#AI #企业培训 #人工智能 #职场成长 #学习笔记,export/UzFfBgAAxNGhTD89Pwv-jMzT4DCaCyP0cARLaTjSIJdT00Nb7Q,2026/5/28,0.98%,16.22秒,508,0,0,0,2,1,2,0,0,0
"号称国产第一进全球前三，实测翻车了

我们上百号研发用了三个月智谱GLM，全员AI提效跑通了。结果Qwen3.7号称全球前三，还送80亿tokens，大家就切过去试了。

试了才发现：让AI装个工具包，GLM先查文档给方案，Qwen跑了半天说不知道这是啥。更狠的是4组对照实验，GLM做出32分，Qwen只有21分。差距最大的是视觉能力，GLM能做6种特效加角色动画，Qwen连个动效都没有。

选大模型别看排名看实战，代码面前可不配合你演戏。
#大模型对比 #GLM #智谱 #qwen3.7-max #国产大模型",export/UzFfBgAAxKyiSDJcQGn-jMzT4DCaH5z_8-bH5DYyN3fCDE2nJA,2026/5/28,19.02%,29.06秒,15189,20,53,44,83,50,83,0,0,0
"单日+4466星霸榜，6个GitHub热门项目一次看完，AI占了一半

关注GitHub星探，每天刷开源

#GitHub #开源 #AI #程序员 #科技",export/UzFfBgAAxN-hQCA3Mlb-jMzT4DCallAhrWESGjKxSynAGJ1MLQ,2026/5/28,13.48%,20.98秒,14218,72,149,14,597,289,597,0,0,0
"Anthropic 的 Claude Code 在 npm 发包时忘了删 source map，51万行 TypeScript 源码全部暴露。

1987个文件，53个工具，7个隐藏功能，三层门控体系——这不是一个简单的终端补全工具，而是一个精心设计的 Agent 编排系统。

从 BUDDY 终端宠物到 KAIROS 持久助手，从 ULTRAPLAN 云端规划到编译开关精简版，这 51 万行代码揭示了 AI 编程助手的真正护城河：不是模型，是编排层。

#ClaudeCode #Anthropic #AI编程 #源码泄露 #Agent #TypeScript #MCP",export/UzFfBgAAxNChDHdifEX_jMzT4DCarOBEmYpYzvn97PXmphAkrg,2026/5/27,8.25%,14.05秒,1090,1,7,5,8,0,8,0,0,0
"注意了，今天 GitHub 有个项目把域名注册做成了免费
另一个项目给 AI 加了长期记忆，关掉对话下次还记得
这些信息差你错过了可能要等很久

你知道哪些服务本来收费结果被开源干掉了吗？评论区说说

#GitHub #开源项目 #程序员 #AI #科技圈",export/UzFfBgAAxKeiGHMDbT38jMzT4DCaEyAl0_rx-4BIbOhkfywIxA,2026/5/27,15.66%,20.97秒,7145,44,71,16,294,117,294,0,0,0
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定但综合推荐CodeGraph，它有个独门绝技叫动态分派合成，静态分析也能追踪React的setState和Vue的事件绑定，零外部依赖，工具调用减少71%关注我，获取更多开源项目深度分析#GitHub #开源 #AI #程序员 #科技,export/UzFfBgAAxI-iVCkPLST9jMzT4DCa3VukGVNq7mFaQa_b0cdzWw,2026/5/26,15.79%,23.94秒,4109,10,40,8,154,17,154,0,0,0
"今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星

一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品味，消灭千篇一律的AI输出

gstack更夸张，YC总裁的AI编程配置，23个AI角色分别扮演CEO、设计师、QA，一个人就是一整个开发团队

从零学AI工程的项目单日涨星三千多，Fork数跟涨星持平，真有人在跟着学

感兴趣的可以看看

#GitHub热门 #程序员 #开源 #AI #科技",export/UzFfBgAAxI-iWD8FRxj9jMzT4DCabW_VMRKpMRh3opLCvcuouA,2026/5/26,7.83%,18.54秒,14760,76,138,5,740,173,740,0,0,0
"今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码库。cmux 一个终端管所有 AI 代理，完成了自动弹通知。Kronos 专门为金融训练的语言模型，从底层理解行情语言。MiroFish 六万星的群体智能引擎，一群 AI 像鱼群一样协作预测。感兴趣的可以看看。

#GitHub热门 #程序员 #开源 #AI #科技",export/UzFfBgAAxJuibBljRAbyjMzT4DCaL_UvA2aM5w5-mBCtK8ynPA,2026/5/25,15.56%,23.60秒,5284,21,57,4,227,55,227,0,0,0
本周 GitHub 最火的开源项目盘点！编程 Agent 赛道最卷 — codegraph 代码知识图谱、agentmemory 持久记忆、oh-my-pi 终端 Agent、orca 并行舰队、Cursor 开放插件生态技能框架同步爆发 — superpowers 星标突破 20 万！学习赛道持续火热 — AI 工程从零到一、vibe coding 零基础入门创新应用百花齐放 — WiFi 信号空间感知、端侧多语言 TTS、反爬全通过关键词：Agent、技能框架、端侧 AI#GitHub #开源 #Agent #AI #编程 #科技,export/UzFfBgAAxKWibH89VmvyjMzT4DCad9D9yIWQnP212gexrtMAIw,2026/5/25,8.51%,22.71秒,2987,15,28,10,121,21,121,0,0,0
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 TokenUnderstand-Anything 把代码变成可交互地图，对着代码直接提问想看更多开源好项目，关注就对了#GitHub热门 #开源 #程序员 #AI #科技,export/UzFfBgAAxI2iMAwgcyDwjMzT4DCaaVsZ1b_Aa6KKdVjJQ_nZ2g,2026/5/24,11.28%,24.69秒,9387,62,106,10,434,99,434,0,0,0
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。投资机构红杉都发了专门论点，一季度AI创业公司拿了2400亿风投。最值得关注的方向是AI代理记账，299一个月包月，市场规模几千亿。不是在软件市场抢蛋糕，是在服务市场开新局。你觉得AI能取代代账公司吗？评论区聊聊#AI #创业机会 #代理记账 #数字化转型 #商业分析,export/UzFfBgAAxKGiCGERSUzwjMzT4DCao8sY1b4VyMMNUsHaXABAtA,2026/5/23,0.63%,20.09秒,638,1,0,0,5,1,5,0,0,0
"今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目。还有个更离谱的，RuView 用你家 WiFi 路由器就能感知房间里有没有人，完全不需要摄像头，6 万 4 千星。关注 GitHub 星探，每天更新热门项目。

#GitHub热门 #程序员 #开源 #AI #科技",export/UzFfBgAAxIeiZC4HGznxjMzT4DCanK8ytQdPZ_OPqYgNIJQBYA,2026/5/23,13.40%,21.35秒,16742,79,175,6,723,247,723,0,0,0
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么你觉得补贴退了谁先撑不住？评论区聊聊#外卖大战 #京东外卖 #美团 #互联网 #商业分析,export/UzFfBgAAxNKhbHlUa0XxjMzT4DCaa5ugZsoMBaCwDJZBOKVmVA,2026/5/23,1.14%,25.14秒,616,4,0,0,0,2,0,0,0,0
"你还在手动剪辑短视频？别人已经用代码自动化了！
HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者
三个项目三种路线，搜项目名就能找到

#编程 #开源项目 #科技 #效率工具",export/UzFfBgAAxNGhADwNdTX2jMzT4DCacZD-GfwAIt8M9zpQrSC1pA,2026/5/22,11.57%,16.28秒,1115,10,16,0,51,14,51,0,0,0
