视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
GitHub今日热门项目，建议收藏备用！,2026年05月31日 14:16:06,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,33.3%,1,16.7%,0,0%,0,0%,0,0%,0,0%,-
谁在真正赚钱？AI Agent 商业价值深度调研,2026年05月30日 19:17:37,379,78.2%,7.9%,3.5星,4.1星,3.5星,34.6%,34.5%,34.7%,11.6%,3.8%,11.8%,1,1.1%,0,12,3.2%,0,0%,0,0%,22,5.8%,0,0%,2,0.5%,32.8%
5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。,2026年05月30日 11:51:51,1690,96.2%,14.1%,4.4星,4.8星,4.4星,21.4%,28.3%,21.1%,10.3%,2%,11.1%,63,5%,0,52,3.1%,1,<0.1%,0,0%,105,6.2%,4,0.2%,17,1%,63.3%
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,805,94%,11.5%,2.3星,2.9星,2.5星,32.4%,36.7%,32.1%,17.9%,6.7%,19.1%,21,3%,0,35,4.3%,0,0%,0,0%,88,10.9%,8,1%,15,1.9%,47.8%
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,142,78.6%,8.8%,3.2星,3.8星,3.1星,53.2%,41.9%,56.4%,0.7%,0%,0%,0,0%,0,0,0%,0,0%,0,0%,1,0.7%,0,0%,1,0.7%,14.6%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,1577,98.3%,7.5%,4.5星,4.4星,4.5星,14.6%,25.9%,14.4%,2.4%,0%,2.8%,1,<0.1%,0,21,1.3%,10,0.6%,0,0%,4,0.3%,0,0%,3,0.2%,63.5%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,480,89.6%,13.4%,3.7星,3.8星,3.7星,27.9%,32.6%,27.3%,8.6%,8.7%,9.3%,14,3.5%,0,9,1.9%,0,0%,0,0%,26,5.4%,0,0%,7,1.5%,59.1%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,228,92%,5.9%,4.2星,4.6星,4.2星,29.1%,15.8%,30.3%,1.3%,0%,1.4%,0,0%,1,2,0.9%,0,0%,0,0%,1,0.4%,0,0%,0,0%,43.5%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,2380,99%,7.2%,4.7星,4.8星,4.8星,18.1%,30.9%,17.8%,6%,16.7%,5.9%,16,0.7%,0,51,2.1%,1,<0.1%,0,0%,86,3.6%,0,0%,7,0.3%,43%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,229,86.1%,9.5%,3星,4.1星,3星,45%,40.6%,45.7%,7.1%,3.3%,8.6%,0,0%,0,5,2.2%,0,0%,0,0%,10,4.4%,0,0%,2,0.9%,51.5%
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,355,88.1%,11.5%,4.4星,4星,4.4星,28.7%,26.8%,29%,10.7%,13.2%,11.8%,4,1.4%,0,12,3.4%,0,0%,0,0%,22,6.2%,0,0%,4,1.1%,55.8%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,138,84.7%,6.9%,3.4星,4.7星,3.2星,43.7%,52.2%,42%,4.4%,4.8%,5.2%,2,1.7%,0,4,2.9%,0,0%,0,0%,2,1.4%,0,0%,0,0%,18.8%
