"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"GitHub 今日榜首是一份免费 API 清单，46 万星。做开发的朋友用得上，转发给他看看。
这五个项目，你会收藏哪个？

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxJqgUCFQXxDmk8zT4DCaioCnh6fkvEvOjAg7PGEfeQ","2026/08/17","10.04%","17.06秒",498,2,6,0,14,4,14,0,0,0,,,,
"
第34周GitHub周榜。
14个开源项目，一半在给AI打工。
78K星的AI管家，14MB的迷你模型。
模型越做越小，直接扎进手表里。
转发给做开发的朋友，下周见。

#GitHub热门 #程序员 #开源 #AI #科技 #周榜","export/UzFfBgAAxJegHFJITHPmk8zT4DCaLCVpGe2-wPAyj6HcwnrvpA","2026/08/17","4.15%","12.82秒",410,1,1,2,4,3,4,0,0,0,,,,
"十三集教你在自己团队用 AI，这集番外切换到乙方视角——FDE，前线部署工程师：约 40% 写代码、60% 面向客户，把 AI 产品带进客户现场从需求做到上线。能力图谱、客户现场五件事、入行 4 条路，一集讲清。转发给想做 AI 落地交付的朋友。

FDE 是什么：Forward Deployed Engineer，前线部署工程师，概念最早由 Palantir 提出。定义是把公司的 AI 产品带进客户的业务现场，根据具体业务需求设计、实现，并确保落地扎根——从需求探索一路做到生产上线。它和 AI 工程师的区别：AI 工程师偏纯技术，FDE 偏客户现场、偏业务落地，相对稀缺。约 40% 时间写代码 + 60% 面向客户是经验刻画非精确统计，42 倍是媒体转引数据置信度中等。
","export/UzFfBgAAxIqgZGB5CUXnk8zT4DCalzaFjR_Qc-KkKHFsEi58yg","2026/08/16","0.28%","14.04秒",353,1,2,0,9,3,9,0,0,0,,,,
"4GB 显存的旧笔记本，就能调教 8B 大模型，数据还不出本机。
今天 5 个 AI 开源项目，一派砍门槛，一派给 AI 配装备。
转发给做开发的朋友，看看两派你站哪边。

#AI #开源 #人工智能 #GitHub #AI工具","export/UzFfBgAAxLygQBVNCUHnk8zT4DCafj6GZdYF8D0KlAAz64dfpw","2026/08/16","9.34%","12.41秒",439,1,5,0,5,1,5,0,0,0,,,,
"两个日常付费场景的开源平替，合计 20 万星。
浏览器就能剪视频，远程桌面数据自己管。
转发给做开发的朋友，用得上的可以换着试。

#GitHub热门 #程序员 #开源 #AI #科技 #热门项目","export/UzFfBgAAxLqgXGkTCznlk8zT4DCa8RBZrXnqX7laSR_BSPtUTg","2026/08/15","10.50%","15.68秒",505,1,5,0,16,3,16,0,0,0,,,,
"2个安全自查加2个本地不上传，数据守住不外漏，转发给关心的朋友。

#开源 #GitHub #隐私 #工具 #分享
","export/UzFfBgAAxIegbFMLNR2ajMzT4DCavxV3WWnpQuKX4g-GiEbHZQ","2026/08/14","7.91%","11.45秒",493,2,6,2,16,0,16,0,0,0,,,,
"AI 居然不瞎编了，还能自证清白。5 个开源落地基建：统一工作区、14MB 端侧模型、本地跑大模型、88K 星检索引擎、决策图谱。单日最高暴涨 1239 星。

觉得有用欢迎转发给身边的朋友，关注我，每天看 AI 开源风向。

#AI开源 #人工智能 #GitHub #大模型 #开源项目","export/UzFfBgAAxLagfAB_PxqajMzT4DCaOQEdRuLNuRo9yfMQgsJ6sA","2026/08/14","9.71%","16.37秒",453,1,1,0,8,3,8,0,0,0,,,,
"画图传文件学英语做PPT跑模型，开源免费都能用，转发给需要的朋友。

#开源 #GitHub #工具 #效率 #分享","export/UzFfBgAAxJagcCwoB0CbjMzT4DCaPVQR_l5E5waJwXuw6w5btw","2026/08/13","5.93%","8.81秒",472,0,2,0,10,4,10,0,0,0,,,,
"今天5个AI开源项目，全在解决同一件事：让AI自己干活，不用人盯。
168K星官方技能库、86K星技能包、77K星管理面板，还有并行开发环境和终身AI导师。
觉得有用，转发给身边做开发的朋友，一起跟上AI开源风向。

#AI开源 #GitHub #AI工具 #智能体 #程序员","export/UzFfBgAAxJ2gUHwvJUOYjMzT4DCa361L67yZA_fNYhl01ugg3A","2026/08/12","10.67%","15.97秒",581,1,2,0,21,2,21,0,0,0,,,,
"今天GitHub热榜上4个老牌项目合计57万星，全靠实力不靠风口：
manim，写Python代码画数学动画，9万星；awesome-mac，11万人挑好的Mac软件清单；project-based-learning，27.8万人收藏的编程自学路线图；nvm，2010年的Node版本管理器，9.4万人还在用。
做开发的朋友大概率用得上，转发给做开发的朋友看看。关注我，每天盘点热门开源项目。

#GitHub热门 #开源项目 #程序员 #编程 #自学编程 #开发工具","export/UzFfBgAAxLugFCQ3GiuZjMzT4DCaPVGxseTYNiBNeqr8NdcULQ","2026/08/12","10.10%","21.17秒",1149,2,8,0,44,3,44,0,0,0,,,,
