"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"6月16日GitHub榜单，6个项目4个都是AI agent赛道。

NVIDIA亲自下场，SkillSpector +1079星今日最猛，用AI扫描AI agent里的恶意代码。

Agent-Reach +1045星，给AI agent装上眼睛读遍全网平台，零API费。

转发给做开发的朋友，今天一起看AI agent赛道爆发。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxJanHEsGcwLWjMzT4DCa3sA6vl4iMzKru0qRywOv1g","2026/06/16","14.81%","15.98秒",58,1,0,0,1,1,1,0,0,0
"转发给做开发的朋友，今天6个项目值得看，AI审AI涨星962。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxJynZFV1UBjXjMzT4DCawDdz8nKUfOAMZcL-cGN87g","2026/06/15","9.59%","21.94秒",813,1,3,4,17,3,17,0,0,0
"第24周 GitHub 周榜速览，13 个项目分 4 组。AI审AI涨星962。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxOGnEEgOWnjXjMzT4DCafsytgUTZo5fzDjehuZm9hg","2026/06/15","9.40%","32.21秒",2232,6,26,2,85,27,85,0,0,0
"6月14日GitHub杀入一批猛项目，AI Agent相关占了一半，还有工具把大模型推理延迟砍掉一大半。转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxJ-naE4mckjUjMzT4DCazzZ2SkaCLwsFArxyeO_nrQ","2026/06/14","17.50%","26.00秒",6741,37,83,8,289,70,289,0,0,0
"5742万人围观的公告。上线4天的旗舰模型，因管制全量下架。同一天，国产GLM-5.2宣布开源。1M上下文，MIT协议，稳。智谱当前的开源旗舰大模型。封锁守门，开源开路。差距在算力，不在脑力。关注我，一起看懂AI。#智谱GLM #GLM5 #开源 #人工智能 #国产AI","export/UzFfBgAAxP-ncEMRBmvVjMzT4DCaras4u8-bcjoWZO_rvtl91A","2026/06/13","9.89%","21.35秒",1122,0,3,0,3,1,3,0,0,0
"刷到转发给求职的朋友。Career-Ops把740次试错做成开源系统，提示词即代码，AI自己改自己的评估规则，7平台对接七维评估。

#开源 #求职 #程序员 #GitHub #面试 #科技","export/UzFfBgAAxPunLAQOOVLVjMzT4DCanP7fCKL4cvWmVcrS3n0vyQ","2026/06/13","2.20%","15.38秒",500,4,4,0,10,0,10,0,0,0
"6月13日 GitHub 盘点：Apple 容器+3513星、PowerToys效率工具、LMCache推理加速等6项目
今天 6 个项目从容器到效率工具到推理加速，开源正在把专业能力送到每个人手上。三连支持一下，下期见

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxISnMC8HWAXKjMzT4DCaMbxewzyCWF3PT5hRvIKRtA","2026/06/13","9.91%","24.10秒",2007,5,19,3,41,10,41,0,0,0
"这条视频，人类没有参与。🔥
它是一个开源工具——ClipForge，从文字到画面，自动锻造出来的。

9道工序连成流水线，65个组件搭出每一帧，4颗引擎之心盯紧每一步。
内容丢进去，成片走出来。

而它把这一切，都开源了。
开源不是交换，是把火种，递到下个人手里。

一个人写下工具，帮几十个人；几十个人分享，就点燃几百个灵感。
当分享成为习惯，进步不是加法，是乘法。

星火，可以燎原。
照亮每一个想表达的人。

而你，就是那颗最新的星 ✨
觉得有意思，转发给同样好奇开源的朋友，让火种传得更远。

#开源 #程序员 #GitHub #星火燎原 #科技","export/UzFfBgAAxOqnMCN0YTPLjMzT4DCak7WIPf2oz5iRmHuzP-NG1A","2026/06/12","7.27%","19.98秒",674,2,2,2,19,2,19,0,0,0
"人力导师一小时100-500块，AI一次2分钱，差2.5万倍，哈佛实验效果还翻倍
Byju's 220亿归零，Coursera蒸发92%，死亡公式凑齐就完蛋
但Unilever省百万英镑，PwC投10亿，IBM要训200万人
新打法：嵌入工作流，按效果收费不按席位

转给做培训的朋友，这个赛道正在洗牌

#企业AI #AI培训 #商业分析 #人工智能","export/UzFfBgAAxJSnBEgzHxPLjMzT4DCahGYPha5x5ivak4yN3nSn-g","2026/06/12","2.56%","22.03秒",585,0,5,0,3,0,3,0,0,0
"转发给做开发的朋友！苹果官方出容器工具了，三万两千星。AI 技能生态今天大爆发，agent-skills 单日涨三千多星，superpowers 已经二十二万星。连 PM 工作流都被拆成一百多个可调用技能了。","export/UzFfBgAAxP-nfFJubGzLjMzT4DCaxgZFjyfLbusKurndbHLd-g","2026/06/12","9.03%","18.49秒",4718,12,45,6,102,30,102,0,0,0
